category,path,added,removed,kind,previous_path
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/AGENTS.md,1,1,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/ORCHESTRATION.md,7,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev.go,34,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_assistant_flags.go,41,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_client.go,21,16,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_context.go,35,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_context_test.go,21,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_memory.go,4,2,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_objective.go,98,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_orchestration_test.go,76,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_task.go,37,23,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_test.go,2,2,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_workspace.go,62,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/cmd/agentctl/kandev_workspace_test.go,34,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/config/prompts/conversation-context.md,22,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/event_types.go,1,1,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/events.go,1,1,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_backend.go,5,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_ssh.go,45,31,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_ssh_managed_runtime.go,134,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_ssh_managed_runtime_test.go,91,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_ssh_operations.go,7,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/executor_ssh_remote_contribution.go,3,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/manager_launch.go,5,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/manager_launch_test.go,20,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/runtime_run_identity_test.go,17,0,test,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtime/lifecycle/types.go,18,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtimeauth/auth.go,174,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtimeauth/auth_test.go,2,2,test,apps/backend/internal/office/agents/auth_test.go
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agent/runtimeauth/middleware.go,48,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/agentctl/server/api/server.go,1,1,source_or_docs,
B4 Automation destination and export guard,apps/backend/internal/automation/export_ac22_test.go,1,0,test,
B4 Automation destination and export guard,apps/backend/internal/automation/export_service.go,3,0,source_or_docs,
B4 Automation destination and export guard,apps/backend/internal/automation/export_service_test.go,27,0,test,
B4 Automation destination and export guard,apps/backend/internal/automation/models.go,20,15,source_or_docs,
B4 Automation destination and export guard,apps/backend/internal/automation/orchestrator.go,85,0,source_or_docs,
B4 Automation destination and export guard,apps/backend/internal/automation/orchestrator_test.go,110,0,test,
B4 Automation destination and export guard,apps/backend/internal/automation/service.go,23,6,source_or_docs,
B4 Automation destination and export guard,apps/backend/internal/automation/store.go,16,10,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_assistant_completion.go,139,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_assistant_context.go,43,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_office.go,19,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_office_test.go,51,1,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_orchestration_profiles.go,66,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_workspace_results.go,172,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_workspace_tasks.go,250,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/adapters_workspace_tasks_test.go,298,0,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_context_scope.go,53,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_context_test.go,43,0,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_credentials.go,26,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_dispatch.go,53,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_ownership.go,12,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/assistant_privacy_test.go,89,0,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/helpers.go,23,19,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/main.go,92,29,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/office_scope.go,3,1,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/orchestration.go,110,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/orchestration_runtime.go,85,0,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/orchestration_runtime_test.go,36,0,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/orchestration_test.go,59,0,test,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/services.go,2,1,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/storage.go,13,1,source_or_docs,
"B3 Composition, task adapters, ownership and context",apps/backend/internal/backendapp/types.go,6,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/common/config/config.go,2,1,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/common/mcpmode/mode.go,2,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/common/redaction/redaction.go,213,0,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/mcp/profile/profile.go,4,1,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/mcp/server/server.go,13,6,source_or_docs,
"B8 CLI, auth, lifecycle, flags and other core seams",apps/backend/internal/mcp/server/sysprompt_sync_test.go,15,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/agents/auth.go,9,164,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/agents/dto.go,3,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/agents/handler.go,24,27,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/agents/pinned_profile.go,23,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/channels/conversation.go,35,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/channels/handler.go,17,9,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/channels/service.go,13,6,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/channels/workspace_chief.go,55,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/channels/workspace_chief_test.go,24,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/configloader/assistant_instructions_test.go,16,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/configloader/instructions.go,2,1,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/configloader/instructions/assistant/AGENTS.md,69,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/dashboard/handler_test.go,1,1,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/engine_dispatcher/conversation_test.go,21,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/engine_dispatcher/dispatcher.go,14,3,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/continuation_scope.go,2,24,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/delegation.go,38,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/delegation_test.go,26,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/enums.go,22,36,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/models.go,3,101,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/models/orchestrator.go,6,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/agents.go,3,3,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/agents_test.go,3,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/base.go,17,79,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/comments_window_test.go,3,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/conversation.go,60,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/conversation_test.go,121,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/migrations_priority_test.go,2,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/orchestration_profiles.go,15,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/orchestrators.go,38,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/orchestrators_test.go,47,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/tasks.go,8,6,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/tasks_filtered_test.go,1,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/tasks_test.go,1,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/workspace_chief.go,48,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/repository/sqlite/workspace_task_owner.go,24,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/pinned_profile.go,46,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/provider.go,3,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/provider_test.go,14,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/resolver.go,8,4,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/resolver_test.go,47,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/routing/types.go,3,2,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/actions.go,31,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/context_builder.go,6,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/context_builder_test.go,26,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/handler.go,22,19,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/workspace_management_capability_test.go,14,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/runtime/workspace_tasks.go,88,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/base_test.go,7,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/channel_relay.go,4,1,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/conversation_context.go,33,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/conversation_context_test.go,49,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/conversation_events.go,92,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/conversation_events_test.go,76,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/delegation_context.go,61,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/event_subscribers.go,57,50,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/executor_resolver.go,7,6,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/external_conversations.go,35,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/orchestration_gate.go,11,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/prompt_builder.go,4,1,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/run.go,30,22,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/scheduler_integration.go,110,80,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/scheduler_integration_routing_test.go,4,1,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/service.go,8,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/skill_lookup.go,8,1,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/skill_lookup_role_test.go,15,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_chief_review_test.go,38,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_task_callback.go,60,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_task_callback_test.go,100,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_task_events.go,64,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_task_events_test.go,44,0,test,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/service/workspace_tasks.go,98,0,source_or_docs,
B2 Office compatibility and earlier coordinator integration,apps/backend/internal/office/shared/workspace_task.go,7,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/configuration.go,145,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/global_roles_test.go,45,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/handler.go,223,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/handler_test.go,157,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/icon.go,45,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/icon_test.go,24,0,test,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/import.go,49,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/instructions/AGENTS.md,41,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/instructions/instructions.go,7,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/assistant.go,31,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/context.go,78,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/conversation.go,40,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/credential.go,39,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/delegation.go,38,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/instruction.go,11,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/objective.go,90,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/operation.go,25,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/persona.go,13,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/role.go,17,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/models/workspace_task.go,45,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/personas/service.go,120,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/assistant.go,91,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/assistant_memory.go,72,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/assistant_schema.go,36,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/comments.go,57,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/context.go,29,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/context_schema.go,51,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/conversation.go,75,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/conversation_ownership.go,96,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/credential_descriptors.go,62,0,source_or_docs,
B1 Orchestration runtime and assistant extensions,apps/backend/internal/orchestration/repository/sqlite/instructions.go,70,0,source_or_docs,
